Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	marzo     	SENAMHI	0.0 	3.4 	0.0 	15.6	0.0 	0.0 	0.0 	0.0 	0.0 	4.8 	0.0 	5.6 	4.5 	15.8	0.0 	7.5 	2.4 	0.0 	0.0 	3.4 	0.0 	9.8 	13.3	7.3 	4.3 	0.0 	10.5	21.4	4.8 	0.0 	0.0 	134.4
    	abril     	SENAMHI	0.0 	14.1	7.6 	4.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.4 	6.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	38.6 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.1  
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	0.0  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	2.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.2  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.3 	0.0 	10.5	2.4 	23.3 
    	septiembre	SENAMHI	7.3 	9.3 	2.7 	0.0 	0.0 	0.0 	0.0 	3.1 	5.6 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.2 	3.2 	0.0 	0.0 	4.6 	5.2 	0.0 	0.0 	0.0 	0.0 	5.5 	7.3 	5.7 	    	68.9 
    	octubre   	SENAMHI	2.1 	9.1 	4.7 	6.8 	7.3 	0.0 	0.0 	0.0 	12.3	16.5	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.7 	6.1 	0.0 	0.0 	0.0 	4.4 	6.7 	5.2 	4.8 	3.7 	0.0 	0.0 	13.4	4.5 	0.0 	116.3
    	noviembre 	SENAMHI	13.6	0.0 	3.4 	0.0 	0.0 	11.3	7.0 	4.3 	7.6 	12.3	10.2	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	69.7 
    	diciembre 	SENAMHI	0.0 	7.5 	0.0 	10.8	5.6 	0.0 	0.0 	0.0 	0.8 	7.1 	0.0 	0.0 	0.0 	8.1 	0.0 	9.5 	15.0	3.5 	7.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	75.5 
1969	enero     	SENAMHI	0.0 	0.0 	0.0 	0.0 	8.2 	7.9 	4.1 	11.5	6.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.5 	0.0 	8.0 	10.8	9.1 	0.0 	4.8 	15.3	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	94.7 
    	febrero   	SENAMHI	0.0 	0.0 	0.0 	6.3 	7.1 	8.4 	3.5 	0.0 	0.0 	12.5	3.4 	5.6 	4.4 	12.8	4.6 	2.2 	10.4	0.0 	0.0 	0.0 	9.0 	5.7 	12.1	14.7	5.8 	12.8	10.0	12.3	    	    	    	163.6
    	marzo     	SENAMHI	10.3	7.1 	0.0 	0.0 	12.6	3.4 	5.7 	0.0 	0.0 	0.0 	6.2 	3.1 	12.9	11.6	3.5 	4.4 	0.0 	0.0 	3.7 	4.1 	0.0 	0.0 	0.0 	0.0 	8.8 	7.8 	6.2 	14.0	0.0 	0.0 	0.0 	125.4
    	abril     	SENAMHI	0.0 	0.0 	4.7 	6.1 	12.6	4.2 	13.7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	33.0	11.9	3.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	10.6	4.1 	10.0	0.0 	0.0 	    	114.7
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.3 	0.0 	0.0 	    	4.3  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	0.0 	0.0 	4.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.1  
    	septiembre	SENAMHI	0.0 	6.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.6 	9.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	10.5	0.0 	    	40.3 
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.3 	0.0 	0.0 	8.0 	8.6 	16.1	12.6	9.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.8 	0.0 	13.7	11.2	0.0 	0.0 	0.0 	9.6 	0.0 	12.0	0.0 	113.9
    	noviembre 	SENAMHI	3.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	9.1 	7.3 	5.6 	16.5	3.8 	15.4	10.3	18.9	0.0 	16.1	10.4	5.0 	14.4	7.0 	0.3 	0.0 	    	143.7
    	diciembre 	SENAMHI	0.0 	10.0	9.5 	14.4	7.6 	9.7 	3.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	23.1	6.7 	13.5	11.4	0.0 	22.9	14.0	10.3	18.2	18.5	14.9	11.0	10.6	8.2 	0.0 	14.8	15.3	268.0
1970	enero     	SENAMHI	12.8	9.3 	10.0	14.2	17.3	14.3	5.4 	11.0	7.3 	12.8	8.9 	12.3	24.7	28.1	37.9	8.8 	13.5	10.3	11.2	4.8 	8.8 	10.3	14.2	6.7 	6.5 	3.2 	4.5 	6.8 	0.0 	0.0 	0.0 	335.9
